id,host_response_rate,host_is_superhost,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,check_in_24h,air_conditioning,balcony,nature_and_views,tv,coffee_machine,cooking_basics,elevator,gym,parking,internet,pets_allowed,private_entrance,secure
3344,100%,0.0,0.0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Other,Private room,1,1.0,1.0,48,25,88,11,95-100/100,moderate,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3362,100%,0.0,1.0,"Shaw, Logan Circle",House,Entire home/apt,16,3.5,4.0,433,24,59,165,80-94/100,strict_14_with_grace_period,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
3662,100%,0.0,1.0,Historic Anacostia,House,Private room,1,1.0,1.0,65,0,47,36,80-94/100,moderate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
3670,unknown,0.0,0.0,"Howard University, Le Droit Park, Cardozo/Shaw",House,Private room,2,1.0,1.0,75,0,90,79,80-94/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3686,100%,0.0,1.0,Historic Anacostia,House,Private room,1,1.0,1.0,55,0,21,70,80-94/100,moderate,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3771,unknown,0.0,0.0,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Other,Private room,2,1.0,1.0,88,0,0,1,nan,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4197,100%,1.0,1.0,"Capitol Hill, Lincoln Park",House,Private room,2,1.5,1.0,83,25,18,41,95-100/100,moderate,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
4501,unknown,0.0,1.0,"Shaw, Logan Circle",House,Private room,2,2.5,1.0,475,50,0,120,95-100/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4529,100%,0.0,1.0,"Eastland Gardens, Kenilworth",House,Private room,4,1.0,1.0,65,10,89,102,80-94/100,strict_14_with_grace_period,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4967,100%,1.0,1.0,"Ivy City, Arboretum, Trinidad, Carver Langston",House,Private room,1,3.0,1.0,99,0,0,31,80-94/100,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
